longitude,latitude
-73.9264,40.7716
-73.9131,40.8452
-73.9140,40.8486
-73.9452,40.8159
-73.8698,40.8826
-73.8807,40.8375
-74.1107,40.5933
-73.8551,40.7415
-73.8815,40.7375
-73.9365,40.6709
-73.9437,40.8153
NULL,NULL
-74.0140,40.6382
-74.0013,40.6469
-73.8957,40.7308
-73.9260,40.8636
-73.9294,40.8623
-74.1104,40.5867
-73.8557,40.8789
-73.9300,40.6841
-74.1065,40.6192
-73.9643,40.7564
-73.9772,40.6307
-73.9735,40.7438
-73.9216,40.7007
-73.8797,40.7502
-73.8619,40.7632
-73.8965,40.6226
NULL,NULL
NULL,NULL
-73.9434,40.8260
-73.7608,40.6052
-73.9028,40.7457
-73.8725,40.7046
-74.0219,40.6374
-74.0311,40.6160
-74.0125,40.7191
NULL,NULL
-73.8052,40.6851
-73.9198,40.6714
-73.8930,40.8601
-73.8761,40.7039
-74.0019,40.7194
-73.9888,40.7535
-74.2113,40.5568
-73.9253,40.6791
-73.8046,40.6773
NULL,NULL
-73.8687,40.8524
-73.9198,40.6918
-74.0121,40.6758
-73.8667,40.8209
-73.8627,40.8918
-73.7516,40.5951
-73.8308,40.8475
-73.7899,40.7026
-73.9617,40.7985
-74.1399,40.5661
-73.8266,40.6834
-73.7387,40.7241
-74.0047,40.6186
-73.9361,40.7980
-73.9479,40.6679
-73.9530,40.6787
NULL,NULL
-73.9079,40.7130
-73.9189,40.8316
-74.0177,40.6450
-73.9386,40.6294
-73.9369,40.8149
-74.0146,40.6513
-74.1663,40.6322
-73.9781,40.7457
-73.8558,40.7311
-73.9229,40.8133
-73.9886,40.7691
-74.0756,40.6185
NULL,NULL
-73.9841,40.7548
NULL,NULL
-73.9624,40.6985
-73.9203,40.8626
-73.9293,40.6513
-73.9937,40.7416
-73.9593,40.6529
-73.9058,40.6483
-73.7390,40.7571
-73.9463,40.7922
-73.8820,40.6846
-73.9145,40.6478
-73.8347,40.6671
-74.0100,40.6301
-73.8042,40.7160
-73.9299,40.8011
-73.9362,40.7756
-74.2193,40.5451
-73.7838,40.7199
-73.8896,40.8532
-74.0036,40.6447
-73.8141,40.6826
-73.8896,40.7391
-74.1279,40.6247
-73.9647,40.6224
-73.9583,40.6489
-73.9200,40.6528
-73.8225,40.7037
-73.9924,40.6361
-73.8474,40.6839
-73.9620,40.5815
-73.8163,40.6893
-73.9526,40.8082
-73.9464,40.8090
-73.9449,40.7068
-73.8057,40.7047
-73.9482,40.6644
-73.8321,40.7028
-73.9540,40.7071
-74.1717,40.5592
-73.9281,40.8651
-73.9592,40.6405
-74.1991,40.5467
-73.8769,40.7562
-73.9303,40.8133
-73.9228,40.6671
-73.8937,40.7604
-74.0972,40.6319
-73.8052,40.7516
-73.9150,40.6394
-73.9947,40.6896
-73.9148,40.8252
-73.9419,40.7007
-73.8108,40.7021
-73.7782,40.6919
-73.9350,40.7612
-73.9857,40.7179
-73.8756,40.8399
-73.9446,40.8410
-73.8870,40.7591
NULL,NULL
-73.8064,40.7565
-73.8130,40.7321
-73.8460,40.9049
-73.8970,40.8673
NULL,NULL
-73.8090,40.6960
-73.9743,40.6455
NULL,NULL
NULL,NULL
-73.9726,40.6067
-73.7726,40.6822
-73.8257,40.7157
-73.9547,40.6448
-73.9044,40.7003
-73.8766,40.7074
0.0000,0.0000
0.0000,0.0000
-73.9761,40.7358
NULL,NULL
-73.7957,40.7051
-73.8987,40.8140
-73.8636,40.7183
0.0000,0.0000
-73.9007,40.8389
-73.9837,40.6152
-73.8641,40.7549
-73.9177,40.6870
NULL,NULL
-74.1646,40.6199
-74.0726,40.5984
-73.9310,40.8040
-73.9243,40.7022
