ROW_ID,LONGITUDE,LATITUDE,CRASH_TIME
60253,-73.9315,40.7072,03:05:00
60610,-73.8525,40.8077,17:35:00
60721,NULL,NULL,19:00:00
60478,-73.9227,40.8205,08:00:00
63535,-73.9115,40.8896,00:00:00
60295,-73.9441,40.7818,02:00:00
60281,-73.8040,40.7537,18:40:00
60361,-73.9105,40.7132,06:00:00
60061,-73.7757,40.6734,04:10:00
60744,NULL,NULL,20:50:00
60352,-73.9269,40.6556,21:30:00
59881,-74.0003,40.6271,06:00:00
60539,-73.9686,40.6785,18:30:00
59913,-73.9048,40.8528,18:25:00
59325,-73.9168,40.8157,00:05:00
60023,NULL,NULL,13:20:00
60403,-73.8698,40.7538,03:50:00
60482,-73.9229,40.8588,16:05:00
60847,-74.0651,40.6012,21:00:00
63768,-73.9108,40.6623,23:30:00
60503,-73.9092,40.6673,14:20:00
59392,-73.9159,40.7587,08:05:00
61041,-73.9601,40.7156,20:20:00
59607,-73.8753,40.7630,03:30:00
59900,NULL,NULL,00:00:00
60571,-73.9403,40.6799,19:09:00
58834,-73.9466,40.7455,00:00:00
58462,-73.7247,40.7245,10:57:00
58682,-73.8859,40.8224,17:45:00
58398,-73.8000,40.6735,12:30:00
57844,-73.9391,40.8216,12:00:00
57849,NULL,NULL,03:17:00
58052,-73.8248,40.7420,22:45:00
58334,-73.9393,40.7233,17:35:00
58096,-73.9071,40.8367,07:25:00
57695,-73.8675,40.7574,04:58:00
57627,-73.8779,40.7667,02:45:00
58295,-73.9297,40.8566,14:40:00
57518,-73.9273,40.8306,05:00:00
57781,NULL,NULL,19:40:00
57537,-73.9259,40.8678,21:24:00
57393,-73.9775,40.6809,20:50:00
56992,-73.8622,40.7607,04:20:00
57177,NULL,NULL,14:00:00
57013,-73.8971,40.8986,01:44:00
56560,-73.7603,40.7617,02:45:00
57484,-73.9385,40.8338,23:04:00
58517,-73.8817,40.8408,11:00:00
56630,-73.9787,40.7286,03:00:00
56998,-73.9275,40.6773,21:21:00
56609,-73.9312,40.6678,03:50:00
57443,-73.9294,40.6977,23:55:00
60518,-73.9194,40.7700,21:49:00
57159,-73.9250,40.7638,23:35:00
56394,-73.9952,40.6661,16:20:00
57149,-73.9168,40.8157,16:37:00
